subscriber_id,account_number,msisdn,id_number,plan,contract_type,network_type,service_status,acquisition_channel,payment_method,region,device_type,node_id,tenure_months,activation_date,created_date,closed_date,last_recharge_days_ago,sla_hours,monthly_charges,data_volume_mb,data_overage_mb,call_minutes,sms_count,intl_call_minutes,roaming_flag,avg_recharge_amount,latency_ms,signal_strength_dbm,complaint_count,support_calls,nps_score,csat_score,app_logins_monthly,refund_amount,payment_failures,days_overdue,bill_shock_flag,paperless_billing,plan_upgrades,reactivation_count,churn
SUB00044,ACC172444,27603146039,8968121789196,IoT SIM,Month-to-Month,NB-IoT,Active,Retail Store,Credit Card,Western Cape,Smartphone,BTS_CPT_007,76,2025-09-23,2024-08-22T05:00:00,2024-08-24T07:00:00,64,48,975.77,2276.0,134.0,336.6,31,0.0,0,0.0,312.4,-57.5,1,0,5,4.0,18,315.12,2,11,1,0,0,0,0
SUB00045,ACC962792,27607448332,9268936743097,Prepaid Smart,Month-to-Month,5G,Active,Online Portal,Mobile Money,Limpopo,IoT Device,BTS_NM_009,12,2025-06-28,2024-04-19T05:00:00,2024-04-20T17:06:00,71,24,889.05,2199.6,25.0,667.4,35,0.0,0,25.37,352.2,-82.0,1,0,7,4.3,13,332.42,0,0,1,1,0,1,0
SUB00046,ACC269232,27607034403,8914967836181,Prepaid Basic,Two Year,2G,Active,Referral,EFT,Gauteng,Feature Phone,BTS_DBN_003,42,2024-02-24,2024-04-05T23:00:00,2024-04-09T18:54:00,64,8,521.53,5847.0,289.1,32.1,28,0.0,0,0.0,127.0,-100.5,1,1,7,1.3,15,,0,0,0,0,0,0,0
SUB00047,ACC922226,27606854003,8894784428090,IoT SIM,Month-to-Month,2G,Active,Online Portal,Debit Order,Mpumalanga,Smartphone,BTS_NM_009,34,2025-07-26,2024-08-17T12:00:00,2024-08-19T09:12:00,43,8,255.49,1552.7,41.0,580.1,26,0.0,0,78.61,367.3,-55.3,1,0,0,2.3,15,358.3,0,0,0,1,0,0,0
SUB00048,ACC509934,27601080607,8094634246182,Postpaid 199,One Year,5G,Suspended,Referral,Voucher,Gauteng,Feature Phone,BTS_EL_005,13,2024-12-26,2024-11-14T21:00:00,2024-11-17T07:42:00,4,48,602.34,327.5,29.8,389.0,38,49.69,1,97.01,408.6,,2,0,1,2.5,15,183.29,0,0,0,0,0,0,0
SUB00049,ACC342406,27609256280,9202168009087,Postpaid 499,Two Year,NB-IoT,Active,Retail Store,EFT,Western Cape,Feature Phone,BTS_DBN_003,78,2024-01-15,2024-01-28T11:00:00,2024-01-29T23:30:00,44,24,253.97,780.2,194.5,157.1,38,0.0,0,82.34,52.1,-92.4,2,1,0,1.1,13,391.52,1,13,0,1,0,1,0
SUB00050,ACC172324,27603912995,9870959567192,Prepaid Smart,Two Year,3G,Active,Retail Store,Voucher,Limpopo,Feature Phone,BTS_EL_005,77,2025-02-11,2024-12-19T00:00:00,2024-12-21T20:12:00,27,24,1242.56,71.9,274.5,98.9,31,0.0,0,0.0,267.4,-94.8,1,0,10,4.4,15,410.43,1,42,1,1,1,1,0
SUB00051,ACC260083,27606014565,8309411641195,Prepaid Smart,Two Year,5G,Active,Referral,Voucher,North West,Feature Phone,BTS_DBN_003,74,2024-07-30,2024-10-03T19:00:00,2024-10-07T18:30:00,15,48,846.7,663.6,415.0,16.7,35,0.0,0,74.17,121.8,-55.1,1,1,1,2.5,14,248.23,1,30,1,1,0,1,0
SUB00052,ACC483081,27606708510,8615757354195,Postpaid 999,Two Year,4G LTE,Active,Retail Store,Debit Order,Northern Cape,Smartphone,BTS_PTA_012,12,2025-10-09,2024-05-21T19:00:00,2024-05-25T00:24:00,81,4,1098.21,,368.5,45.2,24,0.0,0,0.0,367.7,-99.0,1,1,7,,6,75.84,0,0,1,1,0,0,1
SUB00053,ACC245698,27609458324,8471572417087,Prepaid Smart,Month-to-Month,2G,Active,Direct Sales,Credit Card,Limpopo,Feature Phone,BTS_CPT_007,1,2025-12-15,2024-01-27T12:00:00,2024-01-27T14:30:00,7,4,403.39,3407.5,12.3,241.7,32,97.08,1,118.59,48.3,-91.1,1,0,5,2.5,9,304.63,0,0,0,0,1,0,1
SUB00054,ACC509721,27602424664,9767938336185,Prepaid Smart,One Year,2G,Active,Referral,Credit Card,Gauteng,,BTS_EL_005,24,2025-10-14,2024-11-18T13:00:00,2024-11-19T19:12:00,9,48,1046.18,1412.9,41.3,1175.3,31,46.96,1,0.0,382.5,-104.3,1,2,0,2.5,9,219.05,0,0,1,0,0,0,1
SUB00055,ACC745797,27606493679,9734509990086,IoT SIM,Month-to-Month,NB-IoT,Active,Online Portal,Mobile Money,Western Cape,Router,BTS_NM_009,62,2024-07-04,2024-10-18T14:00:00,2024-10-22T08:30:00,49,8,551.0,1465.9,68.9,277.0,34,0.0,0,0.0,63.9,-72.7,3,2,10,4.8,16,,0,0,0,0,0,0,0
SUB00056,ACC865678,27608523104,9542486991186,Prepaid Basic,Month-to-Month,5G,Active,Online Portal,Voucher,,Tablet,BTS_DBN_003,12,2025-09-03,2024-09-01T18:00:00,2024-09-05T12:06:00,41,24,470.39,710.8,45.1,145.1,31,29.24,1,0.0,155.0,-66.4,2,2,8,3.0,12,442.99,0,0,0,0,1,0,0
SUB00057,ACC397871,27602220014,9372553527093,Postpaid 199,One Year,NB-IoT,Active,Online Portal,Mobile Money,North West,Smartphone,BTS_PTA_012,39,2024-08-17,2024-08-13T14:00:00,2024-08-15T07:24:00,67,24,536.83,3202.0,696.2,266.9,32,0.0,0,115.78,23.5,-97.1,0,1,9,1.5,7,0.0,0,0,0,0,1,0,0
SUB00058,ACC974352,27607121639,8409957272185,Prepaid Basic,Month-to-Month,4G LTE,Suspended,Direct Sales,Mobile Money,Limpopo,IoT Device,BTS_NM_009,67,2024-11-25,2024-08-17T05:00:00,2024-08-19T20:24:00,60,8,202.08,507.4,240.3,45.1,35,0.0,0,76.85,130.6,-90.3,1,1,4,2.0,13,300.27,0,0,0,1,0,0,0
SUB00059,ACC796045,27603962539,8761608351091,Postpaid 199,Two Year,2G,Active,Direct Sales,Credit Card,North West,Smartphone,BTS_JHB_001,60,2025-01-04,2024-08-18T02:00:00,2024-08-20T07:42:00,77,48,1050.07,2289.5,83.4,350.4,30,0.0,0,0.0,71.5,-64.1,1,1,2,2.3,7,135.64,0,0,1,1,0,0,0
SUB00060,ACC995376,27603652827,9510047922088,Business Pro,Two Year,2G,Active,Retail Store,Voucher,Limpopo,IoT Device,BTS_CPT_007,19,2025-11-27,2024-07-11T21:00:00,2024-07-12T10:12:00,60,8,1154.06,3028.1,128.4,11.0,35,55.44,1,0.0,45.9,-77.1,1,1,7,4.9,12,91.68,0,0,1,1,0,0,1
SUB00061,ACC578963,27602932591,8509071555189,Business Pro,Month-to-Month,2G,Active,Direct Sales,EFT,KwaZulu-Natal,Wearable,BTS_JHB_001,61,2025-11-04,2024-06-10T14:00:00,2024-06-12T07:54:00,59,8,712.88,2975.2,185.5,373.2,37,0.0,0,129.16,240.1,-67.7,0,1,8,1.9,18,0.0,0,0,0,1,1,0,0
SUB00062,ACC655103,27603698805,9410583924089,Postpaid 499,Two Year,NB-IoT,Active,Agent,Voucher,KwaZulu-Natal,Router,BTS_DBN_003,28,2025-04-26,2024-06-13T01:00:00,2024-06-15T03:18:00,64,4,1039.88,1094.1,318.9,485.3,40,0.0,0,50.55,361.2,-92.2,2,1,1,4.2,12,372.47,0,0,1,1,0,0,0
SUB00063,ACC113640,27609516870,9414309508091,Postpaid 999,One Year,2G,Suspended,Direct Sales,Credit Card,Western Cape,IoT Device,BTS_JHB_001,36,2025-09-04,2024-08-16T20:00:00,2024-08-18T01:00:00,70,24,506.69,4466.8,105.8,114.1,27,0.0,0,0.0,381.3,-63.9,1,0,5,2.2,8,432.24,0,0,0,0,0,0,0
SUB00064,ACC114278,27603619264,8751509041097,Postpaid 499,Two Year,NB-IoT,Terminated,Direct Sales,EFT,Free State,Smartphone,BTS_JHB_001,54,2025-10-29,2024-07-27T04:00:00,2024-07-30T07:48:00,46,24,112.85,1732.4,9.9,86.0,30,0.0,0,0.0,159.1,-50.1,0,1,3,1.4,15,0.0,0,0,0,1,0,0,0
SUB00065,ACC515401,27604342883,8361503761196,Postpaid 499,Two Year,5G,Active,Agent,Mobile Money,Eastern Cape,Smartphone,BTS_PTA_012,30,2024-11-26,2024-01-03T14:00:00,2024-01-06T07:00:00,6,24,1119.44,1179.0,393.1,290.8,35,0.0,0,42.54,185.6,-79.8,3,2,2,1.7,16,343.45,0,0,1,1,0,0,0
SUB00066,ACC302863,27607893651,9255182027190,Postpaid 499,One Year,4G LTE,Porting Out,Referral,Debit Order,Free State,Wearable,BTS_JHB_001,22,2025-04-01,2024-03-29T20:00:00,2024-04-01T01:36:00,13,8,129.52,1048.5,555.9,332.5,20,90.4,1,97.1,97.1,-94.9,0,1,0,2.2,9,0.0,0,0,0,0,2,1,0
SUB00067,ACC117559,27609230556,9647969315087,Postpaid 199,Month-to-Month,4G LTE,Active,Referral,EFT,Western Cape,Wearable,BTS_JHB_001,34,2025-10-03,2024-10-24T22:00:00,2024-10-28T13:36:00,15,24,1061.07,5026.3,602.1,,32,0.0,0,0.0,232.3,-104.6,0,1,5,3.7,14,0.0,0,0,1,1,1,0,1
SUB00068,ACC281794,27609477895,9112741656182,IoT SIM,Month-to-Month,NB-IoT,Active,Online Portal,Mobile Money,Northern Cape,Router,BTS_CPT_007,46,2024-07-14,2024-10-21T05:00:00,2024-10-24T02:30:00,73,8,849.81,6969.7,201.5,11.1,41,0.0,0,37.67,403.6,-91.6,4,1,8,1.7,9,487.47,0,0,1,0,0,0,0
SUB00069,ACC191984,27601476507,8632356864082,Postpaid 999,Month-to-Month,5G,Active,Referral,Voucher,Northern Cape,IoT Device,BTS_DBN_003,64,2024-06-14,2024-10-18T21:00:00,2024-10-22T01:48:00,2,8,835.96,2293.0,343.0,199.8,27,33.18,1,100.95,111.8,-60.7,2,0,2,3.8,13,433.79,1,55,1,1,0,0,0
SUB00070,ACC326329,27601551240,8864752122188,Postpaid 199,Month-to-Month,4G LTE,Active,Agent,Debit Order,Western Cape,Smartphone,BTS_JHB_001,63,2025-07-27,2024-12-08T05:00:00,2024-12-10T21:42:00,48,48,311.54,2383.2,996.6,210.4,36,0.0,0,107.09,396.4,-74.9,1,0,7,2.0,15,436.14,0,0,0,1,0,0,0
SUB00071,ACC977430,27605052266,8342215263088,Prepaid Smart,One Year,NB-IoT,Active,Retail Store,Debit Order,KwaZulu-Natal,Feature Phone,BTS_JHB_001,32,2025-10-12,2024-11-28T15:00:00,2024-11-30T07:36:00,20,8,558.11,175.1,432.2,237.5,29,0.0,0,0.0,77.0,-61.8,0,0,1,3.5,13,0.0,0,0,0,0,1,0,0
SUB00072,ACC559777,27603154983,8210481923183,Business Pro,One Year,4G LTE,Active,Direct Sales,Credit Card,Gauteng,Feature Phone,BTS_EL_005,76,2025-06-18,2024-08-02T14:00:00,2024-08-03T13:12:00,62,48,304.98,3331.7,16.5,125.1,29,0.0,0,126.79,270.9,-58.0,2,4,9,3.8,14,498.37,0,0,0,1,0,0,0
